step,user,action,click,ctr,prob_taken,prob_optimal,regret,policy
222,170,8,0.0,0.536036036036036,0.14731447925698887,0.8940948785858946,71.1860864493086,epsilon_greedy_0.1
223,52,9,0.0,0.5336322869955157,0.45668451457522313,0.8946325412127981,71.62403447594617,epsilon_greedy_0.1
224,180,1,0.0,0.53125,0.16216898589536588,0.8845851176059903,72.3464506076568,epsilon_greedy_0.1
225,134,1,1.0,0.5333333333333333,0.817784291123618,0.9451957867836083,72.47386210331679,epsilon_greedy_0.1
226,165,1,1.0,0.5353982300884956,0.4778917518277128,0.8235921564734474,72.81956250796253,epsilon_greedy_0.1
227,42,1,1.0,0.5374449339207048,0.5920582875880681,0.9042247412401361,73.1317289616146,epsilon_greedy_0.1
228,23,1,0.0,0.5350877192982456,0.2207252556423375,0.9345786781921107,73.84558238416437,epsilon_greedy_0.1
229,32,1,0.0,0.5327510917030568,0.4688579814609371,0.7348544348305878,74.11157883753403,epsilon_greedy_0.1
230,30,1,1.0,0.5347826086956522,0.8223575716889867,0.9042185339423102,74.19343979978736,epsilon_greedy_0.1
231,88,1,1.0,0.5367965367965368,0.5299716412096238,0.7939379065566049,74.45740606513434,epsilon_greedy_0.1
232,104,1,0.0,0.5344827586206896,0.32322242565695064,0.8930329499767012,75.02721658945408,epsilon_greedy_0.1
233,82,1,1.0,0.5364806866952789,0.7523481290738504,0.7704099097509868,75.04527837013121,epsilon_greedy_0.1
234,168,1,0.0,0.5341880341880342,0.4418246878455685,0.8118017245047046,75.41525540679035,epsilon_greedy_0.1
235,61,1,1.0,0.5361702127659574,0.7028142407626253,0.7245311431185101,75.43697230914624,epsilon_greedy_0.1
236,87,1,1.0,0.538135593220339,0.8118513407347137,0.8527637749227819,75.47788474333431,epsilon_greedy_0.1
237,124,1,0.0,0.5358649789029536,0.3346798604569626,0.8043383133908365,75.94754319626819,epsilon_greedy_0.1
238,31,1,1.0,0.5378151260504201,0.5355959508807464,0.9624246855146299,76.37437193090207,epsilon_greedy_0.1
239,15,1,0.0,0.5355648535564853,0.15560143577291188,0.816761161747289,77.03553165687644,epsilon_greedy_0.1
240,52,1,0.0,0.5333333333333333,0.19362256709871986,0.9089264020538755,77.7508354918316,epsilon_greedy_0.1
241,62,1,1.0,0.5352697095435685,0.48755338623880407,0.9274483482161399,78.19073045380892,epsilon_greedy_0.1
242,198,1,0.0,0.5330578512396694,0.5291239648959529,0.9238940086493785,78.58550049756235,epsilon_greedy_0.1
243,105,1,0.0,0.5308641975308642,0.1472413916068283,0.9224949663830347,79.36075407233855,epsilon_greedy_0.1
